Participant,Task,Intent,Notes,Sketch Coordinates,Time of sketch coordinate,Temporal,Spatial,Edit,Note,Extra params,Temporal Disambiguation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,Create a title over the video for “Point 1: How to get started in a language” blur out the video to bring focus to the title. ,"[200.44, 126.37, 409.77, 117.44]",103.817057,Speaker says how to get started in a language (or something similar),,"Adding Text, Blurring",,“Point 1: How to get started in a language”,1:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,"9:22 - Add big text at top of frame to emphasize point, “Lots of listening and reading!”","[188.95, 71.48, 487.64, 51.06]
[67.68, 196.58, 204.25, 168.5]
[519.57, 177.43, 232.33, 177.43]",559,"Speaker says ""Lots of listening and reading""",Top of frame,Adding Text,,“Lots of listening and reading!”,9:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,"At 15:57, animate in text to emphasis summary, something like “focus on one language, occasionally refresh other languages with short stories, videos, etc.”",,,15:57,,Adding Text,animate text,"“focus on one language, occasionally refresh other languages with short stories, videos, etc.",15:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,12,"Similar to the book and headphone animation, occasionally animate in pictures the emphasis what the speaker is saying.",,,,,Adding Image,"animate image / I think we should remove ""similar to the book and headphone animation"" part from the command",pictures the emphasis what the speaker is saying,3:28,4:12,4:31,5:10,6:00,7:21,7:34,7:57,9:11,10:44,13:35,,,,,,,,,,,,,,,,,,,,,,,
1,3,13,End with answer at 1:02:21 and use a big title over the video: “WHEN YOU FEEL LIKE IT!”,,,1:02:21,over the video,Adding Text,"I think we can regard ""over the video"" as ""non-specified""",WHEN YOU FEEL LIKE IT!,1:02:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,7,16:49 Similar title slide “Point 3: How do you start talking?”,,,16:49,,Adding Text,,Point 3: How do you start talking?,16:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,5,We will zoom in on his hand while he talks about two different languages machine / natural language,"[651.05, 306.35, 60, 25.53]
[648.5, 379.11, 77.87, 28.08]",468.5,while he talks about two different languages machine / natural language,on his hand,Zooming,,in on his hand,7:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,6,"11:56 he starts talking about hello.cpp
The coding screen is too small so we will gonna make it bigger and when he say ‘ the hello.cpp’ we will give some highlighting effect of box and give glittering sound effect.(imptnt)","[334.47, 76.59, 42.13, 14.04]",716,11:56,,Zooming,,hello.cpp,11:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,10,Around 24:05 he is talking some encouraging thingies while eye-contacting to screen. I wanna show him big and make it feels like audiences are in-person with him cuz I think he is delivering emotions and saying like showing weakness is okey so It is kinda genuine moment.,"[670.2, 297.42, 72.76, 28.08]",1446.47,24:05,him,Zooming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,13,Around 28:20 while showing very mysterious a.out file we will give some ghost looking transparent meaningless layovers because we dont’ want to losen the concentration of watchers.,,,Around 28:20,,Adding Image,,ghost looking transparent meaningless layovers,28:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,7,"13:50-14:20 while he is talking thingies as
#include <stdio.h>
Main, header file ,
Input, and receive thingies I want to make it one new screen and make it pop up by sequence so the watchers can get informations indented on their brain. For example, if I just listen to / watch to this video, It’s actually hard to get the point which is the most important. So, we will gonna just highlight the important part .",,,13:50-14:20,,Adding Text,,"#include <stdio.h> Header file
Int main()
{
}
Receive 0;",13:50 - 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,"Overall, this guys is interacting too much with subscribers saying meaningless thingies like hey laura blabla thank you so will gonna trim almost every of it and make it into compact ‘informing’ video.",,,meaningless thingies like hey laura blabla thank you,,Cutting/Trimming,,,0:45,0:58 - 1:36,3:45,6:21 - 6:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,6:46 He started to talk about history and mentioned one PhD student berish someone. We will gonna insert this photo and make it written down with sketching sound with his name at the exact point he mentioned that name. (used character as an explanation),,,6:46,described as sketch,"Adding Image, Adding text","embedded an image, also + sketching sound",this photo,6:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,2,"Every time any quality of Surface go is mentioned, show it on the screen","[465.95, 33.19, 278.28, 61.27]",111.2,Every time any quality of Surface go is mentioned,on the screen,Adding Text,,any quality of surface go,"1:23, [532.7, 117.7, 269.68, 100.39]","1:26, [579.37, 121.16, 257.58, 93.47]","1:32, [617.41, 235.4, 226.47, 83.08]","1:34, [617.41, 235.4, 226.47, 83.08]","1:39, [567.27, 280.4, 254.13, 83.08]","4:21, [541.34, 195.59, 228.19, 93.47]","4:26, [441.07, 256.17, 273.14, 88.28]","4:41, [441.07, 256.17, 273.14, 88.28]","7:54, [441.07, 256.17, 273.14, 88.28]","16:46, [615.68, 77.89, 197.08, 53.66]",,,,,,,,,,,,,,,,,,,,,,,,
3,6,3,"Whenever the quality/price/battery/accessories of the two devices are compared, place a small light colored box on the bottom of the screen, so that the viewer can visually compare them",,,Whenever the quality/price/battery/accessories of the two devices are compared,Bottom of the screen,Adding Shape,,(small light colored) box,"796.386345, [272.26, 324.76, 372.99, 151.15]","1:50, [272.26, 324.76, 372.99, 151.15]","2:02, [272.26, 324.76, 372.99, 151.15]","2:16, [272.26, 324.76, 372.99, 151.15]","2:17, [272.26, 324.76, 372.99, 151.15]","2:22, [272.26, 324.76, 372.99, 151.15]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,4,"When entering the wifi password, place a screen that shows what he’s entering. Show the first half of the password and put stars for the rest. E.g. admin12****","[626.8, 75.31, 210.63, 232.32]",339.2,When entering the wifi password,,Adding Text,,first half of the password and put stars for the rest,5:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,5,"At the following moments put a very quick transitional frame which describes what the speaker is about to talk about:
6:04 - Accessories
7:48 - Power adapter
8:09 - Surface Connect Connector
9:20 - I/O
10:06 - Webcam
10:29 - Signature type cover
11:16 - Magnetic docking mechanism
15:35 - Display",,,6:04 - Accessories	7:48 - Power adapter	8:09 - Surface Connect Connector	9:20 - I/O	10:06 - Webcam	10:29 - Signature type cover	11:16 - Magnetic docking mechanism	15:35 - Display,,"Adding Text, Adding Frames",,,6:04,7:48,8:09,9:20,10:06,10:29,11:16,15:35,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,14,"Add a thumbnail picture and once the video starts add a very small description text, since there is no introduction part",,,once the video starts,,"Adding Image, Adding text",,thumbnail picture,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1,"To compare the MS surface go’s spec with gpd pocket 2 apple’s spec, highlight the spec of gdp pocket 2","[513.19, 159.56, 172.33, 103.39]",125.7,,,Adding Text,,,1:44,1:50,2:02,2:16,2:17,2:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,11,It looks lightweight when he holds it. It would be good to add an emphasis for this.,,,when he holds it.,{object},Adding Shape,,,1:40,19:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,12,It looks like there are clear pros and cons between the ones on the right and the left. It would be beneficial to include content that emphasizes these differences.,"[273.2, 10.21, 397, 65.1]
[606.37, 100.84, 174.88, 75.31]",133.2,(screenshot captures the timecode),,Adding Text,,content that emphasizes these differences,2:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,13,"I added a text below the prize barcode that says “Please take a photo, it’s first come, first served.”",,,(screenshot captures the timecode),,Adding Text,,"Please take a photo, it's first come, first served",6:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,14,Trim from 7:20 to 7:40 where he opens the box and says there is a manua,"[298.73, 333.16, 223.39, 86.8]",412.6,"7:20 to 7:40, where he opens the box and says there is a manua",,Cutting/Trimming,,,7:20 - 7:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,1,"Remove all sections throughout the video that aren’t directed at questions. For example, things like “Please like the video”, “Thank you” etc. at 6:07, 24:03, 32:57. The whole video should only contain questions and answers.",,,"all sections throughout the video that aren’t directed at questions. For example, things like “Please like the video”, “Thank you” etc. at 6:07, 24:03, 32:57.",,Cutting/Trimming,,,6:02-6:07,24:03,32:57,0:05 - 1:50,8:20 - 10:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,4,"Whenever the man’s pauses or filler words are too long in his answers, cut them out.","[162.14, 185.09, 339.56, 58.72]",366.38,whenever the man's pauses or filler words are too long in his answers,,Cutting/Trimming,,,0:07 - 00:08,00:12 - 00:13,00:16 - 00:18,00:45 - 00:47,03:22 - 03:23,07:25 - 07:27,07:43 - 07:44,09:13 - 09:14,11:09 - 11:10,12:46 - 12:47,15:52 - 15:53,17:48 - 17:49,18:23 - 18:24,18:40 - 18:41,19:43 - 19:44,20:59 - 21:00,21:04 - 21:06,22:56 - 22:58,23:49 - 23:51,25:13 - 25:14,27:06 - 27:07,27:20 - 27:22,28:35 - 28:37,28:56 - 28:57,29:42 - 29:43,30:21 - 30:23,30:27 - 30:28,30:43 - 30:45,31:21 - 31:23,,,,,
6,5,6,"Make a circular progress bar at the top right side of the screen that starts at 0% when the man starts answering the question, and gradually increases to 100% once he is done, so that users can know how much of the answer is left.",,,,,Adding Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,8,"At 3:56, when the man refers to his instagram account, put an instagram icon and his instagram id on the right side of the screen, with a small description saying “check recent eyebrow case”",,,"at 3:56, when the man refers to his instagram account",right side of the screen,"Adding Text, adding images",,"instagram id and the text ""check recent eyebrow case""",3:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,12,"When the man gives specific examples in his answer, show the key items/nouns as text next to his head. For example, at 31:48, he mentions caffeine and ‘saw palmetto(?)’ so show these words as text for a brief moment","[63.85, 167.22, 116.16, 33.19]
[93.21, 231.04, 153.18, 39.57]",1908.7,when the man gives specific examples in his answer,next to his head,Adding Text,,"key items/nouns. For example, at 31:48, he mentions caffeine and ‘saw palmetto(?)’ so show these words as text for a brief moment",31:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,13,"Right at the beginning of the video, make a frame where all the questions are listed in order. There should be the tile of each category, and also the timestamp of each question. If they don’t all fit in one frame, divide them into multiple (maybe one category per frame)",,,Right at the beginning of the video,,"Adding Text, Adding Frames",,"all the questions are listed in order. There should be a tile of each category, and also the timestap of each question. If they don't all fit in one frame, divide them into multiple (maybe one category per frame)",0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,14,"Whenever the man refers to his YouTube channel or a specific YouTube video or another channel, put a text on the right side of the screen with a YouTube icon and the Channel name",,,Whenever the man refers to his Youtube channel or a specific Youtube video or another channel,,"Adding text, adding Images",, YouTube icon and the Channel name,"25:49, [563.72, 16.34, 289.42, 134.81]","24:03, [563.72, 16.34, 289.42, 134.81]","8:11, [563.72, 16.34, 289.42, 134.81]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
